도서명,카테고리,AR레벨,작가,리뷰,출판사,ISBN,설명,메인,상세페이지
스콜라스틱 에이콘 Best Buddies 3 Books Set,리더스,1.4~1.5,Vicky Fang,4.9점,Scholastic,9.78134E+12,"얼리 리더 시리즈로 영어 읽기를 싲가하는 아이들에게 추천합니다. 짧은 문장과 귀여운 삽화, 말풍선 대화형 스토리로 혼자서도 몰입하며 읽기 자신감을 쌓을 수 있습니다.",http://mecca01.hgodo.com/main/9781338865639_600.jpg,http://mecca01.hgodo.com/goods/9781338865639_a.jpg
스콜라스틱 Home for Meow Series 4 Books Set,챕터북,3.7~4.0,Reese Eschmann,5천개 이상,Scholastic,9.78134E+12,사랑스러운 고양이들이 자신만의 집을 찾아가는 여정을 잔잔하게 그리며 일상의 순간들이 포근하게 표현되어 아이들의 정서 안정에 도움을 줍니다. 귀여운 캐릭터와 부드러운 전개로 독서 초입 단계의 아이들도 쉽게 몰입해 볼 수 있습니다.,http://mecca01.hgodo.com/main/9781338783995_600.jpg,http://mecca01.hgodo.com/goods/9781338783995_a.jpg
스콜라스틱 브랜치 Kwame's Magic Quest 4 Books Set,챕터북,3.5~4.0,Bernard Mensah,7천개 이상,Scholastic,9.78134E+12,8살 마법사 지망생은 신비한 마법 항아리를 손에 넣고 모험을 시작합니다. 녹색 불꽃과 숨겨진산과 깊은 동굴 속 위기를 친구들과 함께 헤쳐 나가죠. 경쟁과 우정 속에서 자신만의 마법과 용기를 발견합니다. 저학년도 쉽게 읽을 수 있는 스콜라스틱 브랜치의 인기 시리즈입니다.,http://mecca01.hgodo.com/main/9781338843378_600.jpg,http://mecca01.hgodo.com/goods/9781338843378_a.jpg
옥토넛 Octonauts Reading Adventure 10 Books Set (세이펜호환/QR음원 포함),리더스,,Meomi,,PNKBOOKS,9.7912E+12,과학과 자연 그리고 영어가 한 권에 담긴 바다 탐험대 옥토넛 리더스북입니다. 세이펜호환 가능한 도서로 문장을 콕콕 찍으면 리딩 음원을 들어볼 수 있으며 세이펜이 없어도 QR코드를 스캔하여 전체 음원을 감상해볼 수 있습니다.,http://mecca01.hgodo.com/main/9791199318106_600.jpg,http://mecca01.hgodo.com/goods/9791199318106_a.jpg
크리스마스 Dasher,스토리북,3.2,Matt Tavares,1천개 이상,Walker Books,9.78141E+12,작은 사슴 대셔는 따뜻한 집과 자유를 꿈꾸며 매일 밤 북극별을 바라봐요. 용기를 내어 서커스를 벗어나 새로운 세상으로 달려갑니다. 그곳에서 산타와 만나며 진정한 자신을 찾게 되죠. 꿈과 희망 그리고 크리스마스의 마법이 가득한 감독적인 이야기를 만나보세요.,http://mecca01.hgodo.com/main/9781406393057_600.jpg,http://mecca01.hgodo.com/goods/9781406393057_a.jpg
